Line	Message	URL
53	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
53	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
53	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
55	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
56	Uncaught ReferenceError: not_a_function is not defined	http://192.168.59.103/signup/?next=/	
55	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
56	Uncaught ReferenceError: not_a_function is not defined	http://192.168.59.103/signup/?next=/	
9	Uncaught ReferenceError: not_a_function is not defined	http://192.168.59.103/static/js/bundle-2e4dfd3a.js	
55	Uncaught SyntaxError: Unexpected token )	http://192.168.59.103/signup/?next=/	
56	Uncaught ReferenceError: not_a_function is not defined	http://192.168.59.103/signup/?next=/	
9	Uncaught ReferenceError: not is not defined	http://192.168.59.103/static/js/bundle-2e4dfd3a.js	
54	Uncaught SyntaxError: Unexpected end of input	http://192.168.59.103/signup/?next=/	
45	Uncaught SyntaxError: Unexpected end of input	http://192.168.59.103/signup/?next=/	
